File,compound_names,mz,rt,into,Group,Sample
S12_3_10D.mzML,M,150.1,849.77934,20878643.1,S5,10D
S12_3_10D.mzML,F,166.1,672.39492,26384987,S5,10D
S12_3_10D.mzML,P,116.1,681.48714,129288522.5,S5,10D
S12_3_10D.mzML,S,106.0476451,878.17608,294938736.4,S5,10D
S12_3_10D.mzML,T,120.1,1068.84732,2145865528,S5,10D
S12_3_10D.mzML,Y,182.1,700.47402,33433920.91,S5,10D
S12_3_10D.mzML,V,118.1,666.77904,4443212492,S5,10D
S12_3_20D.mzML,A,90.1,673.97502,109599789.3,S5,20D
S12_3_20D.mzML,R,175.1,676.64916,108583999.6,S5,20D
S12_3_20D.mzML,D,134,954.6228,70557794.59,S5,20D
S12_3_20D.mzML,Cystine,241,813.56874,8374.353293,S5,20D
S12_3_20D.mzML,E,148.1,825.06786,384582460.9,S5,20D
S12_3_20D.mzML,G,76,763.5609,70056889.66,S5,20D
S12_3_20D.mzML,H,156.1,825.60258,207567691.8,S5,20D
S12_3_20D.mzML,I/L,132.1,825.06786,56505455.58,S5,20D
S12_3_20D.mzML,K,147.1,825.06786,4182429154,S5,20D
S12_3_20D.mzML,M,150.1,825.06786,19785554.15,S5,20D
S12_3_20D.mzML,F,166.1,854.5539,27508066.19,S5,20D
S12_3_20D.mzML,P,116.1,668.6265,116693786.3,S5,20D
S12_3_20D.mzML,S,106.0501342,881.34948,268181662.9,S5,20D
S12_3_20D.mzML,T,120.1,765.70032,246136270.2,S5,20D
S12_3_20D.mzML,Y,182.1,702.85644,35059834.9,S5,20D
S12_3_20D.mzML,V,118.1,824.80032,1688123652,S5,20D
S12_4_10D.mzML,A,90.1,674.69568,77620027.26,S5,10D
S12_4_10D.mzML,R,175.1,676.56774,42706697.16,S5,10D
S12_4_10D.mzML,D,134,952.1502,88930306.88,S5,10D
S12_4_10D.mzML,Cystine,241,699.56586,5770.467884,S5,10D
S12_4_10D.mzML,E,148.1,848.3394,420072389.7,S5,10D
S12_4_10D.mzML,G,76,758.3985,41015725.17,S5,10D
S12_4_10D.mzML,H,156.1,672.82386,201300185.1,S5,10D
S12_4_10D.mzML,I/L,132.1,818.31894,49501639.86,S5,10D
S12_4_10D.mzML,K,147.1,821.2605,2835824118,S5,10D
S12_4_10D.mzML,M,150.1,847.8045,21035679.98,S5,10D
S12_4_10D.mzML,F,166.1,669.07986,27759578.88,S5,10D
S12_4_10D.mzML,P,116.1,664.26636,118903255.8,S5,10D
S12_4_10D.mzML,S,106.0537395,878.07456,259029932.7,S5,10D
S12_4_10D.mzML,T,120.1,762.67722,139259188.5,S5,10D
S12_4_10D.mzML,Y,182.1,700.90296,35693319.92,S5,10D
S12_4_10D.mzML,V,118.1,662.9292,1274950790,S5,10D
S12_4_20D.mzML,A,90.1,673.9071,147259122.5,S5,20D
S12_4_20D.mzML,R,175.1,675.7791,112387847.5,S5,20D
S12_4_20D.mzML,D,134,958.61436,68355766.51,S5,20D
S12_4_20D.mzML,Cystine,241,819.66966,23487.62174,S5,20D
S12_4_20D.mzML,E,148.1,822.87864,421273936.2,S5,20D
S12_4_20D.mzML,G,76,761.88864,85065364.68,S5,20D
S12_4_20D.mzML,H,156.1,662.67546,205017703.6,S5,20D
S12_4_20D.mzML,I/L,132.1,822.87864,62312981.42,S5,20D
S12_4_20D.mzML,K,147.1,824.75064,5008227053,S5,20D
S12_4_20D.mzML,M,150.1,822.87864,20678572.48,S5,20D
S12_4_20D.mzML,F,166.1,853.69854,28276150.75,S5,20D
S12_4_20D.mzML,P,116.1,676.5813,124600727.2,S5,20D
S12_4_20D.mzML,S,106.048925,880.1733,266449413.5,S5,20D
S12_4_20D.mzML,T,120.1,766.70226,648450921.3,S5,20D
S12_4_20D.mzML,Y,182.1,701.98638,41577131.49,S5,20D
S12_4_20D.mzML,V,118.1,667.75644,6277366499,S5,20D
S1_1_10D.mzML,A,90.1,675.33198,72747556.98,S1,10D
S1_1_10D.mzML,R,175.1,678.00624,34781716.63,S1,10D
S1_1_10D.mzML,D,134,952.26798,108553706.2,S1,10D
S1_1_10D.mzML,Cystine,241,679.61076,9909.207452,S1,10D
S1_1_10D.mzML,E,148.1,849.25218,443188930.7,S1,10D
S1_1_10D.mzML,G,76,758.76738,60004619.17,S1,10D
S1_1_10D.mzML,H,156.1,728.54874,205562820.2,S1,10D
S1_1_10D.mzML,I/L,132.1,821.09904,51325397.69,S1,10D
S1_1_10D.mzML,K,147.1,822.16878,3876526476,S1,10D
S1_1_10D.mzML,M,150.1,851.12406,22079013.52,S1,10D
S1_1_10D.mzML,F,166.1,664.10034,30120981.76,S1,10D
S1_1_10D.mzML,P,116.1,669.18138,119899766.9,S1,10D
S1_1_10D.mzML,S,106.0522447,879.20334,312536707.8,S1,10D
S1_1_10D.mzML,T,120.1,763.58088,151313636.4,S1,10D
S1_1_10D.mzML,Y,182.1,702.0741,42310964.61,S1,10D
S1_1_10D.mzML,V,118.1,664.63524,1284027956,S1,10D
S1_1_20D.mzML,A,90.1,675.11244,73847794.08,S1,20D
S1_1_20D.mzML,R,175.1,676.98444,60517976.04,S1,20D
S1_1_20D.mzML,D,134,953.87646,53626989.08,S1,20D
S1_1_20D.mzML,Cystine,241,852.25656,19119.58388,S1,20D
S1_1_20D.mzML,E,148.1,823.5564,243333243.3,S1,20D
S1_1_20D.mzML,G,76,763.3866,35693738.88,S1,20D
S1_1_20D.mzML,H,156.1,675.11244,206379243.7,S1,20D
S1_1_20D.mzML,I/L,132.1,823.82376,50638824.59,S1,20D
S1_1_20D.mzML,K,147.1,823.5564,2407877071,S1,20D
S1_1_20D.mzML,M,150.1,668.13468,19576796.05,S1,20D
S1_1_20D.mzML,F,166.1,661.98408,26848156.89,S1,20D
S1_1_20D.mzML,P,116.1,664.65816,116545492.4,S1,20D
S1_1_20D.mzML,S,106.0531946,880.6032,127258077.3,S1,20D
S1_1_20D.mzML,T,120.1,767.93274,193563635,S1,20D
S1_1_20D.mzML,Y,182.1,705.35634,33837578.54,S1,20D
S1_1_20D.mzML,V,118.1,668.13468,1545876336,S1,20D
S1_2_10D.mzML,A,90.1,675.36696,103959399.4,S1,10D
S1_2_10D.mzML,R,175.1,677.77368,44969317.25,S1,10D
S1_2_10D.mzML,D,134,953.67408,71982907.82,S1,10D
S1_2_10D.mzML,Cystine,241,826.53216,28363.13114,S1,10D
S1_2_10D.mzML,E,148.1,849.59706,460631280.8,S1,10D
S1_2_10D.mzML,G,76,758.32152,58938961.02,S1,10D
S1_2_10D.mzML,H,156.1,733.69098,212387998.2,S1,10D
S1_2_10D.mzML,I/L,132.1,821.98602,52935750.2,S1,10D
S1_2_10D.mzML,K,147.1,822.52092,4387931748,S1,10D
S1_2_10D.mzML,M,150.1,849.86442,25507003.58,S1,10D
S1_2_10D.mzML,F,166.1,669.48366,33002208.92,S1,10D
S1_2_10D.mzML,P,116.1,664.93758,126163263.4,S1,10D
S1_2_10D.mzML,S,106.0500619,880.4007,276994622.9,S1,10D
S1_2_10D.mzML,T,120.1,762.60024,191418016.1,S1,10D
S1_2_10D.mzML,Y,182.1,702.10908,51659380,S1,10D
S1_2_10D.mzML,V,118.1,667.07694,1436459154,S1,10D
S1_2_20D.mzML,A,90.1,674.81592,119863222.3,S1,20D
S1_2_20D.mzML,R,175.1,756.3792,237021098.7,S1,20D
S1_2_20D.mzML,D,134,949.6503,82900856.45,S1,20D
S1_2_20D.mzML,Cystine,241,836.1126,15133.68053,S1,20D
S1_2_20D.mzML,E,148.1,825.90858,453235240,S1,20D
S1_2_20D.mzML,G,76,761.99508,69119684.3,S1,20D
S1_2_20D.mzML,H,156.1,826.71096,202520559,S1,20D
S1_2_20D.mzML,I/L,132.1,823.76922,57035380.46,S1,20D
S1_2_20D.mzML,K,147.1,825.37386,5011241804,S1,20D
S1_2_20D.mzML,M,150.1,823.2345,21550085.48,S1,20D
S1_2_20D.mzML,F,166.1,852.20448,28682345.69,S1,20D
S1_2_20D.mzML,P,116.1,678.5598,118972039.8,S1,20D
S1_2_20D.mzML,S,106.0526596,880.09098,221239812.3,S1,20D
S1_2_20D.mzML,T,120.1,765.47154,138667953.6,S1,20D
S1_2_20D.mzML,Y,182.1,703.16244,36561211.96,S1,20D
S1_2_20D.mzML,V,118.1,824.30406,1260215597,S1,20D
S1_3_10D.mzML,A,90.1,675.71976,175235123.8,S1,10D
S1_3_10D.mzML,R,175.1,677.32428,37140731.5,S1,10D
S1_3_10D.mzML,D,134,951.81924,108783406.5,S1,10D
S1_3_10D.mzML,Cystine,241,858.70422,16951.92531,S1,10D
S1_3_10D.mzML,E,148.1,825.20808,659366393.5,S1,10D
S1_3_10D.mzML,G,76,757.55052,78940575.53,S1,10D
S1_3_10D.mzML,H,156.1,825.20808,199049567.2,S1,10D
S1_3_10D.mzML,I/L,132.1,825.20808,66707815.06,S1,10D
S1_3_10D.mzML,K,147.1,825.20808,7632525304,S1,10D
S1_3_10D.mzML,M,150.1,851.48382,21096149.9,S1,10D
S1_3_10D.mzML,F,166.1,859.23912,30764123.01,S1,10D
S1_3_10D.mzML,P,116.1,666.62748,120359784.4,S1,10D
S1_3_10D.mzML,S,106.05231,882.28974,388891520.9,S1,10D
S1_3_10D.mzML,T,120.1,761.8293,211901748.2,S1,10D
S1_3_10D.mzML,Y,182.1,701.12478,57574478.48,S1,10D
S1_3_10D.mzML,V,118.1,664.75548,1345150891,S1,10D
S1_3_20D.mzML,A,90.1,673.73928,94586584.7,S1,20D
S1_3_20D.mzML,R,175.1,674.00676,156361851.3,S1,20D
S1_3_20D.mzML,D,134,960.08016,63595904.61,S1,20D
S1_3_20D.mzML,Cystine,241,851.95428,10707.50781,S1,20D
S1_3_20D.mzML,E,148.1,824.31396,347493229.5,S1,20D
S1_3_20D.mzML,G,76,764.39496,57363699.06,S1,20D
S1_3_20D.mzML,H,156.1,823.51176,200012769.8,S1,20D
S1_3_20D.mzML,I/L,132.1,823.51176,54508814.07,S1,20D
S1_3_20D.mzML,K,147.1,824.31396,3359981784,S1,20D
S1_3_20D.mzML,M,150.1,823.24422,20193254,S1,20D
S1_3_20D.mzML,F,166.1,852.48912,26463476.6,S1,20D
S1_3_20D.mzML,P,116.1,660.90318,122027745.9,S1,20D
S1_3_20D.mzML,S,106.0518498,880.06104,184587283.5,S1,20D
S1_3_20D.mzML,T,120.1,768.67374,301247893.7,S1,20D
S1_3_20D.mzML,Y,182.1,704.4927,35225304.09,S1,20D
S1_3_20D.mzML,V,118.1,663.8448,2870225250,S1,20D
S1_4_10D.mzML,A,90.1,676.45344,138036710.1,S1,10D
S1_4_10D.mzML,R,175.1,678.86022,63558406.44,S1,10D
S1_4_10D.mzML,D,134,952.87674,128288041.5,S1,10D
S1_4_10D.mzML,Cystine,241,841.02606,29014.7291,S1,10D
S1_4_10D.mzML,E,148.1,850.14,711840965.5,S1,10D
S1_4_10D.mzML,G,76,758.0685,92011296.69,S1,10D
S1_4_10D.mzML,H,156.1,721.1127,211715576.7,S1,10D
S1_4_10D.mzML,I/L,132.1,822.26592,60551350.78,S1,10D
S1_4_10D.mzML,K,147.1,824.67264,6489527922,S1,10D
S1_4_10D.mzML,M,150.1,849.60516,26919910.53,S1,10D
S1_4_10D.mzML,F,166.1,665.48922,34548931.2,S1,10D
S1_4_10D.mzML,P,116.1,666.8262,128004367.3,S1,10D
S1_4_10D.mzML,S,106.0495289,881.4753,384767704.8,S1,10D
